"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/17/2024","5/17/2024","5/20/2024","AFRM","AFRM 5/31/2024 Call $40.00","STC","2","$0.15","$29.92"
"5/16/2024","5/16/2024","5/20/2024","AMZN","Amazon
CUSIP: 023135106","Buy","5","$183.72","($918.60)"
"5/16/2024","5/16/2024","5/20/2024","AMZN","Amazon
CUSIP: 023135106","Buy","5","$184.02","($920.08)"
"5/16/2024","5/16/2024","5/20/2024","AMZN","Amazon
CUSIP: 023135106","Buy","4","$185.24","($740.96)"
"5/16/2024","5/16/2024","5/17/2024","NKE","NKE 5/24/2024 Call $95.00","STO","1","$0.40","$39.95"
"5/16/2024","5/16/2024","5/20/2024","DOCU","DocuSign
CUSIP: 256163106","Sell","7.196816","$61.00","$439.01"
"5/15/2024","5/15/2024","5/17/2024","AMZN","Amazon
CUSIP: 023135106","Buy","10","$184.06","($1,840.60)"
"5/14/2024","5/14/2024","5/15/2024","NKE","NKE 5/17/2024 Call $95.00","STO","1","$0.40","$39.95"
"5/14/2024","5/14/2024","5/16/2024","AMZN","Amazon
CUSIP: 023135106","Buy","10","$185.00","($1,850.00)"
"5/14/2024","5/14/2024","5/16/2024","AFRM","Affirm
CUSIP: 00827B106","Sell","50","$33.80","$1,689.98"
"5/13/2024","5/13/2024","5/15/2024","AMZN","Amazon
CUSIP: 023135106","Buy","8","$186.16","($1,489.27)"
"5/10/2024","5/10/2024","5/14/2024","AFRM","Affirm
CUSIP: 00827B106","Buy","50","$31.72","($1,585.89)"
"5/10/2024","5/10/2024","5/14/2024","AMZN","Amazon
CUSIP: 023135106","Buy","8","$187.00","($1,496.00)"
"5/10/2024","5/10/2024","5/13/2024","AFRM","AFRM 5/31/2024 Call $40.00","BTO","1","$0.35","($35.03)"
"5/9/2024","5/9/2024","5/13/2024","MSFT","Microsoft
CUSIP: 594918104","Sell","2","$410.08","$820.14"
"5/9/2024","5/9/2024","5/13/2024","AMD","AMD
CUSIP: 007903107","Sell","3","$151.91","$455.73"
"5/9/2024","5/9/2024","5/13/2024","GOOG","Alphabet Class C
CUSIP: 02079K107","Sell","1","$170.46","$170.47"
"5/9/2024","5/9/2024","5/13/2024","IVW","iShares S&P 500 Growth Fund
CUSIP: 464287309","Buy","1","$84.41","($84.41)"
"5/9/2024","5/9/2024","5/13/2024","AMZN","Amazon
CUSIP: 023135106","Sell","16","$188.50","$3,015.97"
"5/9/2024","5/9/2024","5/13/2024","LLY","Eli Lilly
CUSIP: 532457108","Sell","1","$783.18","$783.18"
"5/8/2024","5/8/2024","5/9/2024","AFRM","AFRM 5/24/2024 Call $40.00","BTC","1","$0.19","($19.03)"
"5/8/2024","5/8/2024","5/9/2024","AFRM","AFRM 5/31/2024 Call $40.00","BTO","1","$0.30","($30.03)"
"5/8/2024","5/8/2024","5/10/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","1","$475.61","($475.61)"
"5/8/2024","5/8/2024","5/9/2024","AFRM","AFRM 5/17/2024 Call $40.00","BTC","1","$0.10","($10.03)"
"5/8/2024","5/8/2024","5/10/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","1","$78.32","($78.32)"
"5/7/2024","5/7/2024","5/7/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"5/7/2024","5/7/2024","5/7/2024","","Aggregated Margin Rate","MINT","","","($10.07)"
"5/6/2024","5/6/2024","5/6/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","EVGO","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","SOL","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","EFOI","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","LMND","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","ROOT","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","JEPI","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/8/2024","AMD","AMD
CUSIP: 007903107","Buy","1","$155.56","($155.56)"
"5/6/2024","5/6/2024","5/8/2024","LLY","Eli Lilly
CUSIP: 532457108","Buy","1","$739.80","($739.80)"
"5/3/2024","5/3/2024","5/7/2024","NVDA","NVIDIA
CUSIP: 67066G104","Sell","0.142235","$890.45","$126.65"
"5/3/2024","5/3/2024","5/7/2024","NVDA","NVIDIA
CUSIP: 67066G104","Sell","8","$890.46","$7,123.59"
"5/3/2024","5/3/2024","5/7/2024","NVDA","NVIDIA
CUSIP: 67066G104","Sell","2","$890.86","$1,781.70"
"5/3/2024","5/3/2024","5/7/2024","NVDA","NVIDIA
CUSIP: 67066G104","Sell","2","$891.02","$1,782.03"
"5/2/2024","5/2/2024","5/3/2024","AFRM","AFRM 5/24/2024 Call $40.00","STO","1","$1.65","$164.95"
"5/1/2024","5/1/2024","5/3/2024","AMD","AMD
CUSIP: 007903107","Buy","2","$144.15","($288.30)"
"5/1/2024","5/1/2024","5/3/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","1","$827.53","($827.53)"
"5/1/2024","5/1/2024","5/3/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","1","$836.22","($836.23)"
