"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/24/2024","5/24/2024","5/28/2024","NKE","Option Expiration for NKE 5/24/2024 Call $95.00","OEXP","1","",""
"5/24/2024","5/24/2024","5/28/2024","AMZN","AMZN 5/31/2024 Call $190.00","BTC","1","$0.20","($20.03)"
"5/22/2024","5/22/2024","5/24/2024","AFRM","Affirm
CUSIP: 00827B106","Buy","10","$29.97","($299.70)"
"5/22/2024","5/22/2024","5/23/2024","AMZN","AMZN 5/31/2024 Call $190.00","STO","1","$0.75","$74.95"
"5/21/2024","5/21/2024","5/23/2024","AMZN","Amazon
CUSIP: 023135106","Buy","5","$180.96","($904.80)"
"5/21/2024","5/21/2024","5/23/2024","AMZN","Amazon
CUSIP: 023135106","Buy","5","$182.70","($913.50)"
"5/20/2024","5/20/2024","5/21/2024","AMZN","AMZN 5/24/2024 Call $190.00","BTC","1","$0.30","($30.03)"
"5/20/2024","5/20/2024","5/22/2024","AMZN","Amazon
CUSIP: 023135106","Buy","10","$183.70","($1,837.00)"
"5/20/2024","5/20/2024","5/21/2024","AMZN","AMZN 5/24/2024 Call $190.00","STO","1","$0.75","$74.95"
"5/17/2024","5/17/2024","5/20/2024","NKE","Option Expiration for NKE 5/17/2024 Call $95.00","OEXP","1","",""
"5/17/2024","5/17/2024","5/17/2024","","Interest Payment","INT","","","$11.85"
"5/17/2024","5/17/2024","5/20/2024","AFRM","AFRM 5/31/2024 Call $40.00","STC","2","$0.15","$29.92"
