"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/25/2019","3/25/2019","3/27/2019","SQ","Block
CUSIP: 852234103","Buy","15","$73.85","($1,107.75)"
"3/25/2019","3/25/2019","3/27/2019","NIO","NIO
CUSIP: 62914V106","Buy","100","$5.39","($538.91)"
"3/25/2019","3/25/2019","3/27/2019","IQ","iQIYI
CUSIP: 46267X108","Sell","200","$23.64","$4,728.59"
"3/25/2019","3/25/2019","3/26/2019","IQ","IQ 3/29/2019 Call $27.00","STC","2","$0.04","$7.98"
"3/25/2019","3/25/2019","3/26/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","STC","3","$2.50","$749.98"
"3/25/2019","3/25/2019","3/26/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","STC","1","$3.55","$354.98"
"3/22/2019","3/22/2019","3/25/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","BTO","1","$3.10","($310.00)"
"3/22/2019","3/22/2019","3/25/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","BTO","1","$5.00","($500.00)"
"3/22/2019","3/22/2019","3/25/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","BTO","1","$7.15","($715.00)"
"3/22/2019","3/22/2019","3/25/2019","AMZN","AMZN 3/29/2019 Call $1,855.00","BTO","1","$12.48","($1,248.00)"
"3/22/2019","3/22/2019","3/25/2019","AAPL","AAPL 3/29/2019 Call $200.00","STC","3","$2.14","$641.98"
"3/22/2019","3/22/2019","3/26/2019","NKE","Nike
CUSIP: 654106103","Sell","20","$85.29","$1,705.76"
"3/21/2019","3/21/2019","3/25/2019","NKE","Nike
CUSIP: 654106103","Buy","20","$85.05","($1,701.00)"
"3/21/2019","3/21/2019","3/22/2019","NVDA","NVDA 3/29/2019 Call $185.00","STC","3","$3.67","$1,100.97"
"3/21/2019","3/21/2019","3/22/2019","AAPL","AAPL 3/29/2019 Call $200.00","BTO","3","$1.98","($594.00)"
"3/21/2019","3/21/2019","3/22/2019","NVDA","NVDA 3/29/2019 Call $185.00","BTO","3","$3.50","($1,050.00)"
"3/21/2019","3/21/2019","3/25/2019","IQ","iQIYI
CUSIP: 46267X108","Sell","100","$26.08","$2,608.12"
"3/21/2019","3/21/2019","3/22/2019","AMD","AMD 3/29/2019 Call $28.50","BTO","1","$0.48","($48.00)"
"3/21/2019","3/21/2019","3/25/2019","AMD","AMD
CUSIP: 007903107","Buy","25","$27.35","($683.75)"
"3/21/2019","3/21/2019","3/22/2019","IQ","IQ 3/29/2019 Call $27.00","BTO","1","$0.40","($40.00)"
"3/21/2019","3/21/2019","3/22/2019","IQ","IQ 3/29/2019 Call $27.00","BTO","1","$0.40","($40.00)"
"3/21/2019","3/21/2019","3/22/2019","NKE","NKE 3/29/2019 Call $88.00","STC","1","$2.27","$226.98"
"3/20/2019","3/20/2019","3/21/2019","TSLA","TSLA 4/18/2019 Call $320.00","STC","1","$2.70","$269.98"
"3/20/2019","3/20/2019","3/21/2019","NKE","NKE 3/29/2019 Call $88.00","BTO","1","$1.70","($170.00)"
"3/20/2019","3/20/2019","3/22/2019","IQ","iQIYI
CUSIP: 46267X108","Buy","300","$25.94","($7,781.49)"
"3/20/2019","3/20/2019","3/22/2019","OKTA","Okta
CUSIP: 679295105","Sell","100","$81.56","$8,156.20"
"3/19/2019","3/19/2019","3/21/2019","OKTA","Okta
CUSIP: 679295105","Buy","10","$81.46","($814.57)"
"3/19/2019","3/19/2019","3/21/2019","TLRY","Tilray Brands
CUSIP: 88688T100","Sell","9","$72.67","$653.99"
"3/19/2019","3/19/2019","3/21/2019","OKTA","Okta
CUSIP: 679295105","Buy","90","$80.86","($7,277.74)"
"3/19/2019","3/19/2019","3/21/2019","SQ","Block
CUSIP: 852234103","Sell","40","$76.00","$3,039.95"
"3/19/2019","3/19/2019","3/20/2019","XLNX","XLNX 9/20/2019 Call $140.00","STC","2","$7.00","$1,399.97"
"3/18/2019","3/18/2019","3/19/2019","TSLA","TSLA 4/18/2019 Call $320.00","BTO","1","$2.33","($233.00)"
"3/18/2019","3/18/2019","3/20/2019","DOCU","DocuSign
CUSIP: 256163106","Sell","100","$57.09","$5,708.92"
"3/18/2019","3/18/2019","3/20/2019","SQ","Block
CUSIP: 852234103","Buy","40","$75.00","($3,000.00)"
"3/18/2019","3/18/2019","3/20/2019","OKTA","Okta
CUSIP: 679295105","Sell","79","$83.53","$6,598.77"
"3/18/2019","3/18/2019","3/18/2019","","ACH Withdrawal","ACH","","","($3,000.00)"
"3/15/2019","3/15/2019","3/19/2019","OKTA","Okta
CUSIP: 679295105","Buy","29","$79.26","($2,298.54)"
"3/15/2019","3/15/2019","3/19/2019","OKTA","Okta
CUSIP: 679295105","Buy","13","$79.31","($1,031.03)"
"3/15/2019","3/15/2019","3/19/2019","SQ","Block
CUSIP: 852234103","Sell","20","$77.23","$1,544.56"
"3/15/2019","3/15/2019","3/19/2019","OKTA","Okta
CUSIP: 679295105","Buy","37","$80.74","($2,987.55)"
"3/15/2019","3/15/2019","3/18/2019","ROKU","ROKU 3/22/2019 Call $63.50","STC","1","$1.89","$188.98"
"3/15/2019","3/15/2019","3/19/2019","DOCU","DocuSign
CUSIP: 256163106","Sell","77","$59.02","$4,544.80"
"3/15/2019","3/15/2019","3/18/2019","TSLA","TSLA 4/18/2019 Call $320.00","BTO","1","$3.80","($380.00)"
"3/15/2019","3/15/2019","3/18/2019","XLNX","XLNX 9/20/2019 Call $145.00","STC","1","$5.20","$519.98"
"3/15/2019","3/15/2019","3/18/2019","DOCU","DOCU 3/15/2019 Call $60.00","BTC","1","$0.35","($35.00)"
"3/14/2019","3/14/2019","3/18/2019","DOCU","DocuSign
CUSIP: 256163106","Buy","27","$55.00","($1,485.00)"
"3/14/2019","3/14/2019","3/18/2019","ROKU","Roku
CUSIP: 77543R102","Sell","25","$61.65","$1,541.21"
"3/14/2019","3/14/2019","3/15/2019","ROKU","ROKU 3/22/2019 Call $63.50","BTO","1","$1.30","($130.00)"
"3/14/2019","3/14/2019","3/18/2019","SQ","Block
CUSIP: 852234103","Buy","20","$78.00","($1,560.00)"
"3/14/2019","3/14/2019","3/18/2019","ROKU","Roku
CUSIP: 77543R102","Sell","23","$62.08","$1,427.86"
"3/14/2019","3/14/2019","3/18/2019","CRSP","CRISPR
CUSIP: H17182108","Sell","2","$39.45","$78.87"
"3/13/2019","3/13/2019","3/15/2019","ROKU","Roku
CUSIP: 77543R102","Buy","48","$62.56","($3,002.98)"
"3/13/2019","3/13/2019","3/14/2019","DOCU","DOCU 3/15/2019 Call $60.00","STO","1","$1.10","$109.98"
"3/13/2019","3/13/2019","3/14/2019","TSLA","TSLA 4/18/2019 Call $320.00","STC","1","$6.55","$654.98"
"3/13/2019","3/13/2019","3/15/2019","TRXC","TransEnterix
CUSIP: 89366M201","Sell","1000","$2.37","$2,371.54"
"3/13/2019","3/13/2019","3/15/2019","CRSP","CRISPR
CUSIP: H17182108","Buy","2","$39.17","($78.34)"
"3/12/2019","3/12/2019","3/13/2019","TSLA","TSLA 4/18/2019 Call $320.00","BTO","1","$5.65","($565.00)"
"3/12/2019","3/12/2019","3/14/2019","DOCU","DocuSign
CUSIP: 256163106","Buy","9","$57.50","($517.50)"
"3/12/2019","3/12/2019","3/14/2019","DOCU","DocuSign
CUSIP: 256163106","Buy","141","$57.50","($8,107.50)"
"3/12/2019","3/12/2019","3/14/2019","SQ","Block
CUSIP: 852234103","Sell","100","$76.08","$7,608.08"
"3/11/2019","3/11/2019","3/12/2019","SQ","SQ 3/15/2019 Call $75.50","BTC","1","$1.35","($135.00)"
"3/11/2019","3/11/2019","3/13/2019","TRXC","TransEnterix
CUSIP: 89366M201","Buy","1000","$2.30","($2,298.40)"
"3/11/2019","3/11/2019","3/12/2019","SQ","SQ 3/15/2019 Call $75.50","STO","1","$1.15","$114.98"
"3/11/2019","3/11/2019","3/13/2019","SQ","Block
CUSIP: 852234103","Buy","100","$75.00","($7,500.00)"
"3/11/2019","3/11/2019","3/13/2019","OKTA","Okta
CUSIP: 679295105","Sell","3","$81.00","$242.98"
"3/11/2019","3/11/2019","3/13/2019","OKTA","Okta
CUSIP: 679295105","Sell","97","$81.00","$7,856.88"
"3/11/2019","3/11/2019","3/13/2019","OKTA","Okta
CUSIP: 679295105","Sell","42","$80.61","$3,385.56"
"3/8/2019","3/8/2019","3/8/2019","XLNX","Option Expiration for XLNX 3/8/2019 Call $122.00","OEXP","1S","",""
"3/8/2019","3/8/2019","3/12/2019","OKTA","Okta
CUSIP: 679295105","Buy","14","$72.00","($1,008.00)"
"3/8/2019","3/8/2019","3/8/2019","","ACH Deposit","ACH","","","$1,000.00"
"3/8/2019","3/8/2019","3/11/2019","OKTA","OKTA 3/15/2019 Call $85.00","BTC","1","$0.15","($15.00)"
"3/8/2019","3/8/2019","3/12/2019","OKTA","Okta
CUSIP: 679295105","Buy","28","$75.00","($2,100.00)"
"3/8/2019","3/8/2019","3/12/2019","TRXC","TransEnterix
CUSIP: 89366M201","Buy","60","$2.40","($144.00)"
"3/8/2019","3/8/2019","3/8/2019","","ACH Deposit","ACH","","","$2,000.00"
"3/7/2019","3/7/2019","3/8/2019","OKTA","OKTA 3/15/2019 Call $85.00","STO","1","$2.95","$294.98"
"3/6/2019","3/6/2019","3/7/2019","OKTA","OKTA 3/15/2019 Call $85.00","BTC","1","$2.55","($255.00)"
"3/6/2019","3/6/2019","3/7/2019","XLNX","XLNX 3/8/2019 Call $122.00","BTO","1","$1.00","($100.00)"
"3/6/2019","3/6/2019","3/7/2019","OKTA","OKTA 3/15/2019 Call $85.00","STO","1","$3.10","$309.98"
"3/4/2019","3/4/2019","3/5/2019","XLNX","XLNX 9/20/2019 Call $140.00","BTO","1","$6.05","($605.00)"
"3/4/2019","3/4/2019","3/6/2019","TRXC","TransEnterix
CUSIP: 89366M201","Sell","60","$2.57","$154.28"
"3/4/2019","3/4/2019","3/5/2019","OKTA","OKTA 3/15/2019 Call $85.00","BTC","1","$3.70","($370.00)"
"3/4/2019","3/4/2019","3/6/2019","SQ","Block
CUSIP: 852234103","Sell","10","$76.54","$765.38"
"3/4/2019","3/4/2019","3/6/2019","TLRY","Tilray Brands
CUSIP: 88688T100","Buy","19","$78.93","($1,499.72)"
"3/4/2019","3/4/2019","3/5/2019","XLNX","XLNX 9/20/2019 Call $140.00","BTO","1","$7.70","($770.00)"
"3/4/2019","3/4/2019","3/4/2019","","Gold Fee","GOLD","","","($15.00)"
"3/1/2019","3/1/2019","3/1/2019","AMD","AMD 3/1/2019 Call $23.50","OASGN","1","",""
"3/1/2019","3/1/2019","3/5/2019","AMD","AMD
CUSIP: 007903107
1 AMD Option Assigned","Sell","100","$23.50","$2,349.95"
"3/1/2019","3/1/2019","3/5/2019","SQ","Block
CUSIP: 852234103","Buy","10","$77.92","($779.20)"
"3/1/2019","3/1/2019","3/4/2019","XLNX","XLNX 9/20/2019 Call $145.00","BTO","2","$6.20","($1,240.00)"
"2/28/2019","2/28/2019","3/4/2019","GPS","Gap
CUSIP: 364760108","Sell","50","$30.45","$1,522.47"
"2/28/2019","2/28/2019","3/4/2019","GPS","Gap
CUSIP: 364760108","Buy","50","$30.00","($1,500.00)"
"2/28/2019","2/28/2019","3/1/2019","AMD","AMD 3/1/2019 Call $23.50","STO","1","$0.25","$24.98"
"2/28/2019","2/28/2019","3/4/2019","AMD","AMD
CUSIP: 007903107","Buy","20","$23.55","($471.00)"
"2/28/2019","2/28/2019","3/4/2019","SQ","Block
CUSIP: 852234103","Sell","12","$76.60","$919.17"
"2/28/2019","2/28/2019","3/1/2019","XLNX","XLNX 9/20/2019 Call $140.00","STC","2","$7.30","$1,459.97"
"2/27/2019","2/27/2019","3/1/2019","AMD","AMD
CUSIP: 007903107","Buy","80","$23.38","($1,870.38)"
"2/26/2019","2/26/2019","2/27/2019","OKTA","OKTA 3/15/2019 Call $85.00","STO","1","$5.00","$499.98"
"2/26/2019","2/26/2019","2/28/2019","OKTA","Okta
CUSIP: 679295105","Buy","50","$83.85","($4,192.33)"
"2/26/2019","2/26/2019","2/28/2019","DOCU","DocuSign
CUSIP: 256163106","Sell","99","$54.96","$5,440.95"
"2/26/2019","2/26/2019","2/28/2019","DOCU","DocuSign
CUSIP: 256163106","Sell","1","$54.96","$54.94"
"2/26/2019","2/26/2019","2/28/2019","SQ","Block
CUSIP: 852234103","Buy","12","$77.80","($933.60)"
"2/25/2019","2/25/2019","2/27/2019","OKTA","Okta
CUSIP: 679295105","Buy","30","$85.40","($2,562.00)"
"2/25/2019","2/25/2019","2/27/2019","DOCU","DocuSign
CUSIP: 256163106","Buy","100","$54.46","($5,446.20)"
"2/22/2019","2/22/2019","2/25/2019","XLNX","XLNX 9/20/2019 Call $140.00","BTO","2","$6.70","($1,340.00)"
"2/22/2019","2/22/2019","2/26/2019","AMZN","Amazon
CUSIP: 023135106","Sell","6","$1,633.00","$9,797.86"
"2/22/2019","2/22/2019","2/26/2019","ROKU","Roku
CUSIP: 77543R102","Sell","12","$57.00","$683.98"
"2/20/2019","2/20/2019","2/22/2019","ROKU","Roku
CUSIP: 77543R102","Buy","12","$53.50","($642.00)"
"2/20/2019","2/20/2019","2/22/2019","ROKU","Roku
CUSIP: 77543R102","Sell","12","$52.92","$635.03"
"2/20/2019","2/20/2019","2/22/2019","ROKU","Roku
CUSIP: 77543R102","Buy","12","$52.90","($634.80)"
"2/12/2019","2/12/2019","2/14/2019","ROKU","Roku
CUSIP: 77543R102","Sell","12","$49.05","$588.60"
"2/7/2019","2/7/2019","2/11/2019","ROKU","Roku
CUSIP: 77543R102","Buy","12","$45.35","($544.16)"
"2/4/2019","2/4/2019","2/6/2019","ROKU","Roku
CUSIP: 77543R102","Sell","12","$50.42","$605.06"
"2/4/2019","2/4/2019","2/4/2019","","Gold Fee","GOLD","","","($15.00)"
"1/29/2019","1/29/2019","1/31/2019","ROKU","Roku
CUSIP: 77543R102","Buy","12","$43.00","($516.00)"
"1/24/2019","1/24/2019","1/28/2019","AMD","AMD
CUSIP: 007903107","Sell","25","$20.54","$513.48"
"1/22/2019","1/22/2019","1/24/2019","AMD","AMD
CUSIP: 007903107","Buy","25","$19.80","($495.00)"
"1/22/2019","1/22/2019","1/24/2019","OKTA","Okta
CUSIP: 679295105","Buy","20","$77.00","($1,540.00)"
"1/18/2019","1/18/2019","1/18/2019","IQ","IQ 1/18/2019 Call $17.50","OASGN","1","",""
"1/18/2019","1/18/2019","1/23/2019","IQ","iQIYI
CUSIP: 46267X108
1 IQ Option Assigned","Sell","100","$17.50","$1,749.96"
"1/18/2019","1/18/2019","1/23/2019","QEP","QEP Resources
CUSIP: 74733V100","Sell","20","$8.84","$176.81"
"1/16/2019","1/16/2019","1/17/2019","IQ","IQ 1/18/2019 Call $17.50","STO","1","$0.21","$20.98"
"1/11/2019","1/11/2019","1/11/2019","IQ","Option Expiration for IQ 1/11/2019 Call $18.00","OEXP","1","",""
"1/10/2019","1/10/2019","1/11/2019","IQ","IQ 1/11/2019 Call $18.00","STO","1","$0.34","$33.98"
"1/10/2019","1/10/2019","1/11/2019","IQ","IQ 1/11/2019 Call $18.00","STC","1","$0.33","$32.98"
"1/10/2019","1/10/2019","1/11/2019","IQ","IQ 1/11/2019 Call $18.00","BTO","1","$0.35","($35.00)"
"1/8/2019","1/8/2019","1/10/2019","QEP","QEP Resources
CUSIP: 74733V100","Buy","20","$8.60","($172.00)"
"1/3/2019","1/3/2019","1/3/2019","","Gold Fee","GOLD","","","($15.00)"
"12/21/2018","12/21/2018","12/21/2018","TRXC","Option Expiration for TRXC 12/21/2018 Call $3.50","OEXP","2","",""
"12/21/2018","12/21/2018","12/21/2018","TRXC","Option Expiration for TRXC 12/21/2018 Call $4.50","OEXP","1","",""
"12/21/2018","12/21/2018","12/21/2018","WMB","Option Expiration for WMB 12/21/2018 Call $26.00","OEXP","30S","",""
"12/7/2018","12/7/2018","12/7/2018","BIDU","Option Expiration for BIDU 12/7/2018 Call $192.50","OEXP","1S","",""
"12/6/2018","12/6/2018","12/7/2018","WMB","WMB 12/21/2018 Call $26.00","BTO","20","$0.09","($180.00)"
"12/4/2018","12/4/2018","12/5/2018","WMB","WMB 12/21/2018 Call $26.00","BTO","10","$0.26","($260.00)"
"12/4/2018","12/4/2018","12/5/2018","WMB","WMB 12/21/2018 Call $26.00","STC","5","$0.40","$199.98"
"12/4/2018","12/4/2018","12/4/2018","","Gold Fee","GOLD","","","($15.00)"
"12/3/2018","12/3/2018","12/4/2018","WMB","WMB 12/21/2018 Call $26.00","BTO","5","$0.30","($150.00)"
"12/3/2018","12/3/2018","12/4/2018","WMB","WMB 12/21/2018 Call $26.00","STC","5","$0.35","$174.98"
"11/30/2018","11/30/2018","12/3/2018","BIDU","BIDU 12/7/2018 Call $192.50","BTO","1","$3.15","($315.00)"
"11/30/2018","11/30/2018","12/3/2018","WMB","WMB 12/21/2018 Call $26.00","BTO","5","$0.30","($150.00)"
"11/28/2018","11/28/2018","11/29/2018","NFLX","NFLX 11/30/2018 Call $275.00","STC","1","$5.10","$509.98"
"11/28/2018","11/28/2018","11/29/2018","TRXC","TRXC 12/21/2018 Call $3.50","STO","1","$0.15","$14.98"
"11/28/2018","11/28/2018","11/29/2018","TRXC","TRXC 12/21/2018 Call $3.50","STO","1","$0.15","$14.98"
"11/27/2018","11/27/2018","11/28/2018","NFLX","NFLX 11/30/2018 Call $275.00","BTO","1","$2.30","($230.00)"
"11/27/2018","11/27/2018","11/27/2018","","ACH Deposit","ACH","","","$500.00"
"11/23/2018","11/23/2018","11/23/2018","IQ","Option Expiration for IQ 11/23/2018 Call $20.50","OEXP","1","",""
"11/21/2018","11/21/2018","11/23/2018","IQ","IQ 11/23/2018 Call $20.50","STO","1","$0.25","$24.98"
"11/12/2018","11/12/2018","11/12/2018","","Gold Fee","GOLD","","","($15.00)"
"11/12/2018","11/12/2018","11/12/2018","","Apex to RHS Conversion","CONV","","","($2,867.61)"
"11/12/2018","11/12/2018","11/12/2018","TRXC","TransEnterix
CUSIP: 89366M201","CONV","300","",""
"11/12/2018","11/12/2018","11/12/2018","IQ","iQIYI
CUSIP: 46267X108","CONV","100","",""
"11/12/2018","11/12/2018","11/12/2018","AMZN","Amazon
CUSIP: 023135106","CONV","6","",""
"11/9/2018","11/9/2018","11/9/2018","TRXC","TRXC 12/21/2018 Call $4.50","CONV","1S","",""
"9/27/2018","9/27/2018","9/27/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$2,012.62","($2,012.62)"
"9/28/2018","9/28/2018","9/28/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$2,008.80","($2,008.80)"
"10/10/2018","9/28/2018","9/28/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$1,779.43","($1,779.43)"
"10/23/2018","9/28/2018","9/28/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$1,748.29","($1,748.29)"
"10/30/2018","9/28/2018","9/28/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$1,516.46","($1,516.46)"
"10/30/2018","9/28/2018","9/28/2018","AMZN","Amazon
CUSIP: 023135106","Buy","1","$1,510.00","($1,510.00)"

